"Symbol","log2.Fold.Change","Adj.Pval"
"MUC3A",6.917721726,0.0308
"TRPM8",5.856526291,0.0333
"MUC17",5.780382282,0.0208
"ANKRD33",5.680744871,0.0308
"ZNF705A",5.626413452,0.03
"HAS1",5.39897786,0.0097
"BTNL3",5.348162835,0.0408
"DMRTC2",5.192120481,0.0245
"STAB2",4.93070928,0.0414
"CYP17A1",4.911686507,0.00755
"CXCL8",4.6299193,0.0017
"PROK2",4.583501714,0.00027
"TEX45",4.246357578,0.0403
"NRXN1",4.193398241,0.00755
"CXCR1",4.125310151,0.00197
"PTGS2",4.124364718,0.00163
"GABRA4",4.122581697,0.0482
"SEZ6",4.104974749,0.00779
"PI3",4.019357471,0.0267
"NECAB2",3.982181558,0.0422
"HTRA3",3.929658848,0.0394
"FCAR",3.876866722,0.00771
"TKTL1",3.843383671,0.00771
"SSTR3",3.820046352,0.0102
"FFAR1",3.77602672,0.023
"CXCR2",3.58746888,0.0029
"CCR7",3.538944593,0.0272
"MGAM",3.49142436,0.0046
"DAAM2",3.482933134,0.0203
"SYN1",3.446827326,0.012
"ADGRG3",3.424035785,0.00755
"TNFRSF10C",3.416089008,0.0097
"CA4",3.412703753,0.00406
"LYVE1",3.411367488,0.0242
"G0S2",3.365724538,0.00279
"HCAR3",3.317988381,0.0234
"CACNA1E",3.288015777,0.0097
"LRG1",3.258668942,0.0145
"FCGR3B",3.25540402,0.0174
"CCL20",3.170544698,0.0269
"TREML4",3.135645935,0.0482
"IFITM2",3.085965461,0.0194
"SLC7A11",3.011318389,0.0414
"KCNJ15",3.008068713,0.0158
"OPRK1",2.983935517,0.0493
"OSM",2.981575772,0.0152
"RAB3C",2.979336154,0.0365
"SELL",2.955502067,0.0219
"IL1B",2.945556164,0.0349
"CD177",2.862400635,0.0308
"BTNL8",2.83594037,0.0191
"CCNJL",2.818594052,0.0194
"CXCL1",2.818094539,0.0189
"RPH3A",2.752124264,0.0393
"TG",2.735324501,0.0152
"NAMPT",2.732086994,0.0183
"BMP6",2.728057464,0.012
"TNFRSF8",2.714251915,0.0246
"DGAT2",2.703338278,0.0152
"CEACAM3",2.672542936,0.0394
"CSF3R",2.670762443,0.0228
"ADM",2.663464004,0.0349
"IL1R2",2.660036219,0.0368
"SLCO4A1",2.646977945,0.00958
"MXD1",2.609225009,0.0189
"EPHB1",2.535399326,0.03
"RGS2",2.513037111,0.0215
"SEMA6B",2.503544524,0.0355
"TNFRSF1B",2.492878062,0.0272
"TREML2",2.459800043,0.0403
"PRDM8",2.451033645,0.0408
"DNAH17",2.450203996,0.0394
"VNN2",2.433570312,0.0124
"SULT1B1",2.413730168,0.0114
"IRAG1",2.382111244,0.0266
"SLC25A37",2.307211847,0.0169
"LILRA2",2.296548958,0.0288
"CXCR4",2.279645481,0.0228
"CSRNP1",2.266562107,0.0394
"PNRC1",2.243626794,0.012
"CHST15",2.221146703,0.0492
"AOC1",1.983998427,0.0228
"VNN1",1.979387113,0.03
"AREG",1.971144222,0.0189
"MBOAT7",1.966349185,0.0346
"SERPING1",1.951229076,0.031
"CD55",1.763208258,0.0348
"FLT3",1.731439904,0.0259
"LPCAT1",1.6992582,0.0299
"ADGRA2",1.464280369,0.0482
"NOCT",1.215510421,0.0107
"IL20RB",-2.046351244,0.00771
